Especificação,Unidade,40T I,40T II,63T I,80T I,80T II,110T I,110T II,125T I,160T I,160T II,200T I,200T II,250T I,315T I,400T I,500T I,630T I
Força de Avanço,t,40,40,63,80,80,110,110,125,160,160,200,200,250,315,400,500,630
Força de Retorno,t,4,"6,3","6,3",8,8,11,11,12,16,16,20,20,25,30,40,50,60
Curso do Cilindro (Ascendente),mm,400,400,400,400,400,400,400,400,400,400,600,600,600,600,600,600,600
Abertura entre Platôs,mm,400,400,400,400,400,400,400,400,400,400,600,600,600,600,600,600,600
Velocidade de Avanço Rápido,mm/s,200,225,225,225,225,195,195,170,170,170,200,200,200,240,250,300,300
Velocidade de Fechamento,mm/s,20,15,15,15,15,15,15,15,15,15,5~15,5~15,5~12,5~15,5~12,5~12,4~10
Velocidade de Retorno,mm/s,130,130,130,130,130,130,130,150,150,150,150,150,150,150,150,150,150
Dimensões dos Platôs,mm,300 x 300,400 x 400,400 x 400,400 x 400,400 x 400,400 x 400,400 x 400,500 x 500,500 x 500,500 x 500,600 x 600,600 x 600,650 x 650,700 x 700,800 x 800,850 x 850,900 x 900
Quantidade de Vãos,Q,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1
Motor,CV,10,15,15,20,20,30,30,30,30,30,30,30,40,50,60,75,75
Capacidade de Óleo (AW46),l,160,180,180,220,220,260,260,260,360,360,380,380,460,560,700,900,1.000
Peso Aproximado,Kg,4.000,5.000,5.000,6.000,7.000,7.000,8.500,8.000,10.500,11.500,11.000,12.000,12.000,20.000,21.500,32.000,45.000
